"x",""
1,0.597407786058424
2,0.581266754017332
3,0.541002446296212
4,0.503825566618983
5,0.472771824053255
6,0.445038242056057
7,0.426407359969238
8,0.40802934366256
9,0.392502195357531
10,0.377328017520313
11,0.36772024722574
12,0.359373823604902
13,0.351173308368185
14,0.343442719662435
15,0.338223891275618
16,0.331885369711016
17,0.327287669921678
18,0.322159481028771
19,0.318347324821839
20,0.316483694083522
21,0.313308213212816
22,0.311480550141027
23,0.308830640052625
24,0.306288571960886
25,0.304705940742816
26,0.303220900115184
27,0.301655487819117
28,0.300304927303505
29,0.299104199359588
30,0.298343653909142
31,0.29743931165403
32,0.296460057240912
33,0.295582916767839
34,0.294106626824611
35,0.293089016768748
36,0.292865113374203
37,0.292261576271111
38,0.291603373220513
39,0.291092811308002
40,0.290134612208117
41,0.289725334123177
42,0.289636001426225
43,0.289286321406631
44,0.288856252051557
45,0.288504283215099
46,0.288542838757626
47,0.288070231464464
48,0.287821471578407
49,0.287711881522193
50,0.287300310878479
